2117,2118,495000000424,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2118,2119,495000000426,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,43
2119,2120,495000000427,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2120,2121,495000000428,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2121,2122,495000000432,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2122,2123,495000000433,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,8
2123,2124,496000000102,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2124,2125,496000000103,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2125,2126,496000000104,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2126,2127,496000000105,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2127,2128,496000000106,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2128,2129,496000000110,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,@,@,보훈대상자/국가유공자,장애인,@,한부모/조손,@,요양환자/치매환자,취약계층,@,35
2129,2130,496000000113,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2130,2131,496000000114,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2131,2132,496000000115,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2132,2133,496000000116,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2133,2134,496000000118,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,9
2134,2135,496000000119,@,청소년,청년,중장년,노년,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,-1
2135,2136,496000000121,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2136,2137,496000000122,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2137,2138,496000000123,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,8
2138,2139,497000000101,아동,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,8
2139,2140,497000000102,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2140,2141,497000000105,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,-1
2141,2142,497000000106,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2142,2143,497000000107,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2143,2144,497000000108,@,청소년,청년,중장년,@,@,무직,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,34
2144,2145,497000000109,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,42
2145,2146,497000000110,@,청소년,청년,중장년,@,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,3
2146,2147,497000000111,@,청소년,청년,중장년,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,41
2147,2148,497000000112,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2148,2149,497000000113,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2149,2150,497000000114,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2150,2151,497000000115,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,42
2151,2152,497000000116,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2152,2153,497000000117,@,청소년,청년,중장년,노년,@,@,@,@,중소기업,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,1
2153,2154,497000000118,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2154,2155,497000000119,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,9
2155,2156,498000000101,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2156,2157,498000000102,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2157,2158,498000000103,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2158,2159,498000000106,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,@,@,보훈대상자/국가유공자,장애인,신규전입,@,@,요양환자/치매환자,취약계층,@,46
2159,2160,498000000107,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,14
2160,2161,498000000108,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2161,2162,498000000109,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,7
2162,2163,498000000110,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2163,2164,498000000111,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2164,2165,498000000112,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2165,2166,498000000115,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2166,2167,498000000116,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2167,2168,498000000119,아동,청소년,@,@,@,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,14
2168,2169,498000000128,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2169,2170,498000000129,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2170,2171,499000000102,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2171,2172,499000000104,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2172,2173,499000000105,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,7
2173,2174,499000000110,@,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,11
2174,2175,499000000112,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2175,2176,499000000114,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2176,2177,499000000115,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2177,2178,499000000116,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2178,2179,499000000117,@,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,10
2179,2180,499000000121,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2180,2181,499000000122,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2181,2182,499000000123,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,@,@,@,@,다자녀,@,@,@,@,@,@,@,@,-1
2182,2183,499000000125,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2183,2184,499000000126,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2184,2185,499000000129,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2185,2186,499000000130,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,9
2186,2187,499000000131,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2187,2188,499000000133,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,1인가구,@,@,보훈대상자/국가유공자,장애인,@,@,@,요양환자/치매환자,취약계층,@,27
2188,2189,499000000134,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2189,2190,499000000135,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,@,@,보훈대상자/국가유공자,장애인,신규전입,@,@,요양환자/치매환자,취약계층,@,46
2190,2191,499000000136,@,청소년,청년,중장년,@,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,43
2191,2192,499000000137,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2192,2193,499000000140,아동,청소년,청년,중장년,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,42
2193,2194,499000000143,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2194,2195,499000000144,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2195,2196,499000000146,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2196,2197,499000000147,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2197,2198,499000000151,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2198,2199,500000000104,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,@,임산부,@,@,@,보훈대상자/국가유공자,장애인,신규전입,@,@,요양환자/치매환자,취약계층,@,46
2199,2200,500000000106,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2200,2201,500000000108,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2201,2202,500000000109,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2202,2203,500000000110,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2203,2204,500000000111,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2204,2205,500000000112,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2205,2206,500000000113,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2206,2207,500000000119,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,@,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,-1
2207,2208,500000000120,@,@,@,@,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,24
2208,2209,500000000123,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2209,2210,500000000125,아동,청소년,청년,중장년,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,5
2210,2211,500000000127,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2211,2212,501000000105,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2212,2213,501000000106,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2213,2214,501000000117,아동,청소년,청년,중장년,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,7
2214,2215,502000000203,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2215,2216,502000000206,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,@,임산부,@,다문화/탈북민,@,@,@,@,@,@,@,@,@,-1
2216,2217,502000000207,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2217,2218,502000000208,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2218,2219,502000000209,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2219,2220,502000000210,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2220,2221,502000000213,@,@,@,@,노년,@,@,@,@,@,일반,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,@,신규전입,한부모/조손,확대가족,@,@,@,37
2221,2222,502000000215,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2222,2223,502000000216,@,청소년,@,@,@,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,9
2223,2224,502000000218,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2224,2225,502000000219,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2225,2226,502000000220,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2226,2227,502000000223,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2227,2228,502000000224,@,@,@,@,노년,학생,무직,@,농어업인,중소기업,@,자녀있음,@,여성,남성,무주택자,임산부,1인가구,다문화/탈북민,다자녀,보훈대상자/국가유공자,장애인,신규전입,한부모/조손,확대가족,요양환자/치매환자,취약계층,@,12
2228,2229,502000000225,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2229,2230,505000000101,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2230,2231,505000000103,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2231,2232,505000000109,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
2232,2233,505000000112,아동,청소년,청년,중장년,노년,학생,@,@,@,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,-1
2233,2234,505000000113,@,청소년,청년,중장년,노년,@,@,@,농어업인,@,@,@,자녀없음/상관없음,여성,남성,무주택자,@,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,2
2234,2235,505000000115,@,청소년,청년,중장년,@,@,@,@,@,@,일반,자녀있음,@,여성,@,무주택자,임산부,1인가구,다문화/탈북민,다자녀,@,@,신규전입,한부모/조손,확대가족,@,@,@,13
